Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,09/16/2025,"Payment to Chase card ending in 3438 09/16",-8098.91,LOAN_PMT,176.45,,
DEBIT,09/16/2025,"VENMO            PAYMENT    1044863510884   WEB ID: 3264681992",-35.00,MISC_DEBIT,8275.36,,
CREDIT,09/15/2025,"ENTEGRATION INC  PAYROLL                    PPD ID: 9000697722",1844.51,ACH_CREDIT,8310.36,,
DEBIT,09/09/2025,"VENMO            PAYMENT    1044724598705   WEB ID: 3264681992",-50.70,MISC_DEBIT,6465.85,,
CREDIT,08/29/2025,"ENTEGRATION INC  PAYROLL                    PPD ID: 9000697722",1844.51,ACH_CREDIT,6516.55,,
DEBIT,08/26/2025,"VENMO            PAYMENT    1044398047145   WEB ID: 3264681992",-60.00,MISC_DEBIT,4672.04,,
DEBIT,08/19/2025,"VENMO            PAYMENT    1044253404089   WEB ID: 3264681992",-43.33,MISC_DEBIT,4732.04,,
DEBIT,08/19/2025,"NV ENERGY NORTH  SPPC PYMT  03121392 844101 WEB ID: 3880044418",-168.08,ACH_DEBIT,4775.37,,
CREDIT,08/15/2025,"ENTEGRATION INC  PAYROLL                    PPD ID: 9000697722",1844.51,ACH_CREDIT,4943.45,,
DEBIT,08/11/2025,"VENMO            PAYMENT    1044058100975   WEB ID: 3264681992",-50.70,MISC_DEBIT,3098.94,,
CREDIT,08/04/2025,"ENTEGRATION, INC DIRECT-PAY                 PPD ID: 2242176753",211.20,ACH_CREDIT,3149.64,,
CREDIT,07/31/2025,"ENTEGRATION INC  PAYROLL                    PPD ID: 9000697722",1844.51,ACH_CREDIT,2938.44,,
DEBIT,07/30/2025,"PAYPAL           INST XFER  ALICLOUD US     WEB ID: PAYPALSI77",-4.20,ACH_DEBIT,1093.93,,
DEBIT,07/30/2025,"Payment to Chase card ending in 5495 07/30",-15.99,LOAN_PMT,1098.13,,
DEBIT,07/30/2025,"Payment to Chase card ending in 3438 07/30",-4171.35,LOAN_PMT,1114.12,,
DEBIT,07/28/2025,"VENMO            PAYMENT    1043797350117   WEB ID: 3264681992",-86.00,MISC_DEBIT,5285.47,,
DEBIT,07/23/2025,"PROG DIRECT INS  INS PREM   POL  860583417  WEB ID: 9409348112",-619.00,ACH_DEBIT,5371.47,,
DEBIT,07/23/2025,"AMERICAN STRATEG 5A42D652BA                 PPD ID: 2330903620",-125.00,ACH_DEBIT,5990.47,,
CREDIT,07/23/2025,"VENMO            CASHOUT                    PPD ID: 5264681992",218.33,MISC_CREDIT,6115.47,,
DEBIT,07/21/2025,"VENMO            PAYMENT    1043635649116   WEB ID: 3264681992",-24.73,MISC_DEBIT,5897.14,,
DEBIT,07/17/2025,"WITHDRAWAL 07/17",-400.00,MISC_DEBIT,5921.87,,
DEBIT,07/15/2025,"VENMO            PAYMENT    1043524284580   WEB ID: 3264681992",-1379.00,MISC_DEBIT,6321.87,,
CREDIT,07/15/2025,"ENTEGRATION INC  PAYROLL                    PPD ID: 9000697722",1844.51,ACH_CREDIT,7700.87,,
CREDIT,07/14/2025,"ALLY BANK        P2P        ANDREW ZEHNDER  WEB ID: 1770527921",5000.00,ACH_CREDIT,5856.36,,
DEBIT,07/08/2025,"VENMO            PAYMENT    1043368660272   WEB ID: 3264681992",-52.97,MISC_DEBIT,856.36,,
DEBIT,07/07/2025,"NV ENERGY NORTH  SPPC PYMT  03121392 844101 WEB ID: 3880044418",-54.01,ACH_DEBIT,909.33,,
DEBIT,06/30/2025,"Payment to Chase card ending in 3438 06/30",-5381.93,LOAN_PMT,963.34,,
DEBIT,06/30/2025,"Payment to Chase card ending in 5495 06/30",-209.99,LOAN_PMT,6345.27,,
DEBIT,06/30/2025,"VENMO            PAYMENT    1043175364029   WEB ID: 3264681992",-50.00,MISC_DEBIT,6555.26,,
CREDIT,06/30/2025,"ENTEGRATION INC  PAYROLL                    PPD ID: 9000697722",1840.67,ACH_CREDIT,6605.26,,
CREDIT,06/26/2025,"COMCAST-XFINITY  CABLE SVCS                 PPD ID: 0000213249",16.67,ACH_CREDIT,4764.59,,
CREDIT,06/13/2025,"ENTEGRATION INC  PAYROLL                    PPD ID: 9000697722",2479.00,ACH_CREDIT,4747.92,,
DEBIT,06/12/2025,"VENMO            PAYMENT    1042807944658   WEB ID: 3264681992",-16.92,MISC_DEBIT,2268.92,,
DEBIT,06/11/2025,"VENMO            PAYMENT    1042786346186   WEB ID: 3264681992",-17.72,MISC_DEBIT,2285.84,,
DEBIT,06/09/2025,"ATM WITHDRAWAL                       001135  06/07933 W MOA",-200.00,ATM,2303.56,,
DEBIT,06/05/2025,"COMCAST-XFINITY  CABLE SVCS                 PPD ID: 0000213249",-25.00,ACH_DEBIT,2503.56,,
DEBIT,06/02/2025,"VENMO            PAYMENT    1042573711339   WEB ID: 3264681992",-13.33,MISC_DEBIT,2528.56,,
DEBIT,06/02/2025,"VENMO            PAYMENT    1042546955705   WEB ID: 3264681992",-54.47,MISC_DEBIT,2541.89,,
DEBIT,06/02/2025,"Payment to Chase card ending in 5495 06/02",-32.53,LOAN_PMT,2596.36,,
DEBIT,06/02/2025,"Payment to Chase card ending in 3438 06/02",-2394.14,LOAN_PMT,2628.89,,
CREDIT,05/30/2025,"ENTEGRATION INC  PAYROLL                    PPD ID: 9000697722",2479.00,ACH_CREDIT,5023.03,,
DEBIT,05/27/2025,"VENMO            PAYMENT    1042400328892   WEB ID: 3264681992",-15.43,MISC_DEBIT,2544.03,,
DEBIT,05/20/2025,"VENMO            PAYMENT    1042310715042   WEB ID: 3264681992",-20.94,MISC_DEBIT,2559.46,,
DEBIT,05/15/2025,"VENMO            PAYMENT    1042201235791   WEB ID: 3264681992",-58.45,MISC_DEBIT,2580.40,,
CREDIT,05/15/2025,"ENTEGRATION INC  PAYROLL                    PPD ID: 9000697722",2478.99,ACH_CREDIT,2638.85,,
DEBIT,05/12/2025,"Zelle payment to EVAN 24743054718",-40.00,QUICKPAY_DEBIT,159.86,,
DEBIT,05/12/2025,"VENMO            PAYMENT    1042116567842   WEB ID: 3264681992",-125.00,MISC_DEBIT,199.86,,
DEBIT,05/05/2025,"COMCAST          CABLE                      PPD ID: 0000213249",-25.00,ACH_DEBIT,324.86,,
DEBIT,05/05/2025,"VENMO            PAYMENT    1041972894496   WEB ID: 3264681992",-90.00,MISC_DEBIT,349.86,,
DEBIT,05/05/2025,"CONAMMGMT-A67OP  WEB PMTS   Q1JKHJ          WEB ID: 9000326709",-4184.81,MISC_DEBIT,439.86,,
DEBIT,04/30/2025,"Payment to Chase card ending in 5495 04/30",-27.99,LOAN_PMT,4624.67,,
DEBIT,04/30/2025,"Payment to Chase card ending in 3438 04/30",-1901.44,LOAN_PMT,4652.66,,
CREDIT,04/30/2025,"ENTEGRATION INC  PAYROLL                    PPD ID: 9000697722",2479.00,ACH_CREDIT,6554.10,,
DEBIT,04/28/2025,"VENMO            PAYMENT    1041791523928   WEB ID: 3264681992",-100.00,MISC_DEBIT,4075.10,,
CREDIT,04/28/2025,"VENMO            CASHOUT                    PPD ID: 5264681992",20.00,MISC_CREDIT,4175.10,,
DEBIT,04/21/2025,"VENMO            PAYMENT    1041649600779   WEB ID: 3264681992",-75.00,MISC_DEBIT,4155.10,,
DEBIT,04/16/2025,"VENMO            PAYMENT    1041580807312   WEB ID: 3264681992",-54.64,MISC_DEBIT,4230.10,,
DEBIT,04/16/2025,"VENMO            PAYMENT    1041580992185   WEB ID: 3264681992",-60.00,MISC_DEBIT,4284.74,,
DEBIT,04/15/2025,"VENMO            PAYMENT    1041544487255   WEB ID: 3264681992",-75.00,MISC_DEBIT,4344.74,,
